"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature"
"68","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968849",40.80139,-77.946109,1909-07-16,NA,NA,"Y","Y",NA,"Online Herbarium",7,16,1909,197,0.300000011920929,7.5,14.1000003814697,19.6000003814697,20.3999996185303,19.6000003814697,16.1000003814697
"69","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968852",40.80139,-77.946109,1909-07-14,NA,NA,"Y","Y",NA,"Online Herbarium",7,14,1909,195,0.300000011920929,7.5,14.1000003814697,19.6000003814697,20.3999996185303,19.6000003814697,16.1000003814697
"70","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417292",41.325651,-74.674244,1909-07-04,NA,NA,"Y",NA,NA,"Online Herbarium",7,4,1909,185,0.200000002980232,7.40000009536743,13.6000003814697,19,19.8999996185303,19,15.5
"71","https://neherbaria.org/portal/collections/individual/index.php?occid=2101169",44.88669,-68.71656,1909-07-05,NA,NA,"Y",NA,NA,"Online Herbarium",7,5,1909,186,-1.80000007152557,3.90000009536743,10.8000001907349,16.8999996185303,18.7000007629395,18.3999996185303,13.8000001907349
"72","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757268",39.748442,-76.018558,1909-08-05,NA,NA,NA,"Y",NA,"Online Herbarium",8,5,1909,217,3.70000004768372,10.5,16.2000007629395,21.8000011444092,22.7000007629395,21.8000011444092,18.3000011444092
"73","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326071",39.994444,-75.38,1910-04-23,"Y","Y",NA,NA,NA,"Online Herbarium",4,23,1910,113,8,12.8000001907349,15.9000005722046,19.8000011444092,24.6000003814697,22.2000007629395,20.3999996185303
"74","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17000115",40.748706,-75.7338,1910-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,1910,120,5.59999990463257,10.6000003814697,13.6000003814697,17.8999996185303,22.3000011444092,19.8000011444092,17.8999996185303
"75","https://nansh.org/portal/collections/individual/index.php?occid=24056692",42.86187,-72.61441,1910-05-05,"Y","Y",NA,NA,NA,"Online Herbarium",5,5,1910,125,1.5,7.59999990463257,11.6000003814697,15.4000005722046,19.8000011444092,16.8000011444092,13.9000005722046
"76","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17000118",40.696037,-75.626969,1910-05-05,NA,"Y",NA,NA,NA,"Online Herbarium",5,5,1910,125,5.59999990463257,10.6000003814697,13.6000003814697,17.8999996185303,22.3000011444092,19.8000011444092,17.8999996185303
"77","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326041",40.748706,-75.7338,1910-04-30,NA,"Y",NA,NA,NA,"Online Herbarium",4,30,1910,120,5.59999990463257,10.6000003814697,13.6000003814697,17.8999996185303,22.3000011444092,19.8000011444092,17.8999996185303
"78","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326034",40.868706,-75.254902,1910-08-02,NA,NA,"Y","Y",NA,"Online Herbarium",8,2,1910,214,5.90000009536743,10.8000001907349,13.8000001907349,18.3999996185303,22.7000007629395,20,17.7000007629395
