"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"93","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010902",41.03833333333,-75.50527777777,1997-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1997,137
"94","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010462",41.047492,-75.508865,1997-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1997,137
"95","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30358477",41.050026,-74.253506,2002-05-07,"Y","Y",NA,NA,NA,"Online Herbarium",5,7,2002,127
"96","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013558",41.05416666666,-77.15388888888,2010-04-23,"Y","Y",NA,NA,NA,"Online Herbarium",4,23,2010,113
"97","https://sernecportal.org/portal/collections/individual/index.php?occid=16578600",41.06299,-74.25148,2002-05-07,"Y","Y",NA,NA,NA,"Online Herbarium",5,7,2002,127
"98","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=25888168",41.0752,-78.5777,2017-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,2017,120
"99","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=32316669",41.1068,-75.4424,2019-05-09,"Y","Y",NA,NA,NA,"Online Herbarium",5,9,2019,129
"100","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527115",41.15398,-75.28046,1938-05-28,"Y","Y",NA,NA,NA,"Online Herbarium",5,28,1938,148
"101","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329717",41.177032,-75.417962,1924-06-02,"Y","Y",NA,NA,NA,"Online Herbarium",6,2,1924,154
"102","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968876",41.177193,-78.005006,1971-05-10,"Y",NA,NA,NA,NA,"Online Herbarium",5,10,1971,130
"103","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=25888171",41.1829,-75.8708,2017-04-28,"Y","Y",NA,NA,NA,"Online Herbarium",4,28,2017,118
"104","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968875",41.246991,-78.156474,1974-05-23,"Y","Y",NA,NA,NA,"Online Herbarium",5,23,1974,143
"105","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968877",41.292414,-80.095174,1971-05-20,"Y",NA,NA,NA,NA,"Online Herbarium",5,20,1971,140
"106","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968921",41.292414,-80.095174,1971-05-20,"Y","Y",NA,NA,NA,"Online Herbarium",5,20,1971,140
"107","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968823",41.295553,-79.085826,1948-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1948,133
"108","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968822",41.331394,-79.038108,1949-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1949,132
"109","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009760",41.3326,-79.15027,1993-05-07,"Y","Y",NA,NA,NA,"Online Herbarium",5,7,1993,127
"110","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329657",41.333068,-75.12825,1950-06-05,"Y","Y",NA,NA,NA,"Online Herbarium",6,5,1950,156
"111","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009753",41.354229,-79.059994,1994-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1994,132
"112","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009749",41.354229,-79.059994,1994-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1994,132
"113","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009750",41.354229,-79.059994,1994-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1994,132
"114","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009642",41.355347,-78.262889,1997-06-18,"Y","Y","Y",NA,NA,"Online Herbarium",6,18,1997,169
"115","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326111",41.356412,-76.318614,1903-05-14,"Y","Y",NA,NA,NA,"Online Herbarium",5,14,1903,134
"116","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=25888170",41.3594,-75.8747,2017-04-29,"Y","Y",NA,NA,NA,"Online Herbarium",4,29,2017,119
"117","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329650",41.36754,-76.04094,1903-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1903,133
"118","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329714",41.36754,-76.04094,1903-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1903,133
"119","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011648",41.37667,-78.97333,2003-05-09,"Y","Y",NA,NA,NA,"Online Herbarium",5,9,2003,129
"120","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757259",41.399925,-75.699751,1936-05-02,"Y","Y",NA,NA,NA,"Online Herbarium",5,2,1936,123
"121","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757278",41.408943,-75.739693,1936-05-03,"Y","Y",NA,NA,NA,"Online Herbarium",5,3,1936,124
"122","https://neherbaria.org/portal/collections/individual/index.php?occid=2135804",41.410704,-71.603987,2017-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,2017,137
"123","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968820",41.413094,-78.728639,1947-05-31,"Y","Y",NA,NA,NA,"Online Herbarium",5,31,1947,151
"124","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858960",41.423558,-77.150327,1958-05-11,"Y","Y",NA,NA,NA,"Online Herbarium",5,11,1958,131
"125","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858984",41.440513,-79.79326,1964-05-10,"Y","Y",NA,NA,NA,"Online Herbarium",5,10,1964,131
"126","https://midwestherbaria.org/portal/collections/individual/index.php?occid=17317303",41.45,-75.708333,1975-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1975,137
"127","https://neherbaria.org/portal/collections/individual/index.php?occid=1310127",41.457,-71.594,2014-05-20,"Y","Y",NA,NA,NA,"Online Herbarium",5,20,2014,140
"128","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968811",41.472034,-78.194174,1970-05-07,"Y","Y",NA,NA,NA,"Online Herbarium",5,7,1970,127
"129","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858945",41.475896,-79.258376,1954-05-02,"Y","Y",NA,NA,NA,"Online Herbarium",5,2,1954,122
"130","https://neherbaria.org/portal/collections/individual/index.php?occid=1130431",41.4798,-72.39435,1984-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1984,138
"131","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013977",41.4862838,-78.0478313,2013-05-18,"Y","Y",NA,NA,NA,"Online Herbarium",5,18,2013,138
"132","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013654",41.4961083333,-78.1023972222,2009-06-02,"Y","Y",NA,NA,NA,"Online Herbarium",6,2,2009,153
"133","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858948",41.511615,-79.474418,1952-05-04,"Y","Y",NA,NA,NA,"Online Herbarium",5,4,1952,125
"134","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14416596",41.551381,-87.299308,1903-04-22,"Y","Y",NA,NA,NA,"Online Herbarium",4,22,1903,112
"135","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908388",41.572212,-87.267077,1900-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1900,132
"136","https://neherbaria.org/portal/collections/individual/index.php?occid=1305568",41.579,-71.703,2014-05-29,"Y","Y",NA,NA,NA,"Online Herbarium",5,29,2014,149
"137","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908487",41.581044,-87.339561,1909-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1909,135
"138","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908417",41.593092,-87.36615,1900-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1900,132
"139","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329647",41.599769,-75.69513,1946-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1946,135
"140","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968819",41.621141,-78.593543,1960-05-26,"Y","Y",NA,NA,NA,"Online Herbarium",5,26,1960,147
"141","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968929",41.621141,-78.593543,1960-05-26,"Y","Y",NA,NA,NA,"Online Herbarium",5,26,1960,147
"142","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013381",41.65555555555,-78.08555555555,2009-05-29,"Y","Y",NA,NA,NA,"Online Herbarium",5,29,2009,149
"143","https://neherbaria.org/portal/collections/individual/index.php?occid=981166",41.65711,-72.66329,1983-05-09,"Y","Y",NA,NA,NA,"Online Herbarium",5,9,1983,129
"144","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20373393",41.660095,-87.030817,1917-05-31,"Y","Y",NA,NA,NA,"Online Herbarium",5,31,1917,151
"145","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20373394",41.660095,-87.030817,1917-05-31,"Y","Y",NA,NA,NA,"Online Herbarium",5,31,1917,151
"146","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14416853",41.663093,-87.036977,1918-05-25,"Y","Y",NA,NA,NA,"Online Herbarium",5,25,1918,145
"147","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3410703",41.670274,-87.019811,1965-05-23,"Y","Y",NA,NA,NA,"Online Herbarium",5,23,1965,143
"148","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908483",41.67116,-87.023514,1909-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1909,135
"149","https://neherbaria.org/portal/collections/individual/index.php?occid=1385590",41.69324,-71.66092,1993-05-11,"Y","Y",NA,NA,NA,"Online Herbarium",5,11,1993,131
"150","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968892",41.725894,-79.263935,1960-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1960,142
"151","http://collections.peabody.yale.edu/search/Record/YU.058767",41.7413,-73.1931,1905-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1905,141
"152","https://neherbaria.org/portal/collections/individual/index.php?occid=981167",41.78288,-72.33938,1968-05-01,"Y","Y",NA,NA,NA,"Online Herbarium",5,1,1968,122
"153","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=21942450",41.804175,-78.5636527778,2019-05-10,"Y","Y",NA,NA,NA,"Online Herbarium",5,10,2019,130
"154","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968893",41.810247,-79.268381,1955-05-07,"Y","Y",NA,NA,NA,"Online Herbarium",5,7,1955,127
