"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"94","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326104",40.009463,-76.708854,1942-04-26,"Y","Y","NA","NA","NA","Online Herbarium",4,26,1942,116
"95","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968945",40.017219,-78.152541,1972-05-10,"NA","Y","NA","NA","NA","Online Herbarium",5,10,1972,131
"96","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968846",40.020262,-78.184983,1966-05-08,"Y","Y","NA","NA","NA","Online Herbarium",5,8,1966,128
"97","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329591",40.026002,-74.56066,1950-06-25,"NA","NA","Y","Y","NA","Online Herbarium",6,25,1950,176
"98","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858950",40.034382,-78.161353,1941-06-22,"NA","NA","NA","NA","Y","Online Herbarium",6,22,1941,173
"99","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976254",40.036224,-74.617934,1923-05-12,"Y","Y","NA","NA","NA","Online Herbarium",5,12,1923,132
"100","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968948",40.04085,-78.751841,1965-07-04,"NA","NA","Y","Y","NA","Online Herbarium",7,4,1965,185
"101","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968845",40.04085,-78.751841,1965-07-04,"NA","NA","NA","NA","Y","Online Herbarium",7,4,1965,185
"102","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329743",40.045707,-78.760537,1965-07-04,"NA","NA","NA","NA","Y","Online Herbarium",7,4,1965,185
"103","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968839",40.062792,-79.189646,1946-09-14,"NA","NA","NA","Y","NA","Online Herbarium",9,14,1946,257
"104","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968837",40.075753,-78.840045,1936-08-15,"NA","NA","NA","Y","NA","Online Herbarium",8,15,1936,228
"105","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757283",40.082911,-78.922672,1938-05-08,"Y","Y","NA","NA","NA","Online Herbarium",5,8,1938,128
"106","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968936",40.103194,-78.954673,1937-09-10,"NA","NA","NA","Y","NA","Online Herbarium",9,10,1937,253
"107","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013504",40.12149,-79.17408,2010-06-11,"NA","NA","NA","Y","NA","Online Herbarium",6,11,2010,162
"108","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013488",40.12149,-79.17408,2010-05-24,"NA","Y","NA","NA","NA","Online Herbarium",5,24,2010,144
"109","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968946",40.121839,-78.624642,1964-05-17,"NA","Y","NA","NA","NA","Online Herbarium",5,17,1964,138
"110","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11997722",40.122368,-79.174846,1963-09-10,"NA","NA","NA","NA","Y","Online Herbarium",9,10,1963,253
