"","reference","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","decimalLongitude","decimalLatitude","date"
"45","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968910","1908-07-16",NA,NA,"Y","Y",NA,"Online Herbarium",7,16,1908,198,2,7.5,14.8000001907349,19.3999996185303,21.8999996185303,19.3000011444092,17.3999996185303,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-76.931213,41.215886,1900-07-16
"46","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968918","1908-07-16",NA,NA,"Y","Y",NA,"Online Herbarium",7,16,1908,198,2,7.5,14.8000001907349,19.3999996185303,21.8999996185303,19.3000011444092,17.3999996185303,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-76.931213,41.215886,1900-07-16
"47","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968927","1908-07-14",NA,NA,"Y","Y",NA,"Online Herbarium",7,14,1908,196,1.80000007152557,7.40000009536743,13.9000005722046,18.6000003814697,21.3000011444092,18.3999996185303,16.1000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",1357092.4693,21835391920.3,-77.637456,41.34037,1900-07-14
"48","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968926","1908-07-14",NA,NA,"Y","Y",NA,"Online Herbarium",7,14,1908,196,1.80000007152557,7.40000009536743,13.9000005722046,18.6000003814697,21.3000011444092,18.3999996185303,16.1000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",1357092.4693,21835391920.3,-77.644151,41.404187,1900-07-14
"49","https://neherbaria.org/portal/collections/individual/index.php?occid=702342","1908-07-26",NA,NA,"Y","Y",NA,"Online Herbarium",7,26,1908,208,0.300000011920929,6.09999990463257,14,19,21.8000011444092,19.1000003814697,16.3999996185303,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-71.93935,42.89051,1900-07-26
"50","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17158310","1908-07-14",NA,NA,NA,"Y",NA,"Online Herbarium",7,14,1908,196,5.5,10.5,16.3000011444092,20.3999996185303,23.8999996185303,20.7000007629395,17.7000007629395,"8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",17925881.4618,819013899914,-77.417093,39.597535,1900-07-14
"51","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968860","1908-07-20",NA,NA,NA,"Y",NA,"Online Herbarium",7,20,1908,202,3.79999995231628,8.80000019073486,15.1000003814697,19.2000007629395,22.3000011444092,19.5,17.2000007629395,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.036374,40.537,1900-07-20
"52","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17000110","1908-06-20",NA,NA,NA,"Y",NA,"Online Herbarium",6,20,1908,172,3.5,9,15.4000005722046,19.8999996185303,22.8000011444092,19.7000007629395,17.2000007629395,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-75.62521,40.652756,1900-06-20
"53","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968957","1908-07-24",NA,NA,NA,"Y",NA,"Online Herbarium",7,24,1908,206,3.40000009536743,8.60000038146973,15.1000003814697,19.7000007629395,22.2000007629395,19.6000003814697,17.1000003814697,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.619382,40.70727,1900-07-24
"54","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326102","1908-07-01",NA,NA,NA,"Y",NA,"Online Herbarium",7,1,1908,183,3.5,9,15.4000005722046,19.8999996185303,22.8000011444092,19.7000007629395,17.2000007629395,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-75.944818,40.758429,1900-07-01
"55","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968909","1908-07-16",NA,NA,NA,"Y",NA,"Online Herbarium",7,16,1908,198,2,7.5,14.8000001907349,19.3999996185303,21.8999996185303,19.3000011444092,17.3999996185303,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-76.924793,41.209174,1900-07-16
